CCN,critical_access,teaching_status,urban_rural,referral_center,ownership_type_simple,medicaid_caseload,disproportionate_percentage,charity_care_burden,uncomp_burden
10001,Not Critical Access,Teaching,Rural,Referral Center,Governmental,0.125033232,0.2809,0.023933099,0.030556396
10005,Not Critical Access,Non Teaching,Rural,Referral Center,Governmental,0.224721637,0.31215,0.016118941,0.031655201
10006,Not Critical Access,Teaching,Urban,Referral Center,Proprietary,0.128416025,0.2101,0.022805814,0.030186173
10007,Not Critical Access,Non Teaching,Rural,Non Referral Center,Governmental,0.135662063,0.24015,0.006902329,0.052235195
10008,Not Critical Access,Non Teaching,Rural,Non Referral Center,Governmental,0.187607573,0.31385,2.52E-05,0.054527966
10011,Not Critical Access,Teaching,Urban,Non Referral Center,Nonprofit,0.116484858,0.2119,0.059315742,0.067732551
10012,Not Critical Access,Non Teaching,Rural,Non Referral Center,Proprietary,0.215571205,0.3016,0.02290528,0.06175271
10016,Not Critical Access,Non Teaching,Urban,Non Referral Center,Proprietary,0.077209036,0.1474,0.067403199,0.074933915
10018,Not Critical Access,Teaching,Urban,Non Referral Center,Governmental,0.051948052,NA,0.005738829,0.011841287
10019,Not Critical Access,Non Teaching,Urban,Non Referral Center,Governmental,0.2995673,0.2811,0.007634694,0.033010941
10021,Not Critical Access,Non Teaching,Rural,Non Referral Center,Governmental,0.222083852,0.3827,0.002774683,0.054694862
10022,Not Critical Access,Non Teaching,Rural,Non Referral Center,Nonprofit,0.304680038,0.5742,0.057185456,0.144053223
10023,Not Critical Access,Teaching,Urban,Non Referral Center,Governmental,0.23157739,0.3752,0.021086723,0.048915843
10024,Not Critical Access,Non Teaching,Rural,Referral Center,Nonprofit,0.147139645,0.2734,0.026561866,0.033523873
10029,Not Critical Access,Teaching,Urban,Referral Center,Governmental,0.221773184,0.31805,0.007794269,0.015451151
10033,Not Critical Access,Teaching,Urban,Non Referral Center,Governmental,0.193107341,0.33875,0.017878345,0.025874995
10034,Not Critical Access,Non Teaching,Urban,Non Referral Center,Nonprofit,0.126829268,0.24215,0.00342102,0.033029707
10035,Not Critical Access,Non Teaching,Rural,Referral Center,Governmental,0.186056459,0.1989,0.010270812,0.055033153
10036,Not Critical Access,Non Teaching,Rural,Non Referral Center,Proprietary,0.2187637,0.3398,0.0228649,0.042584385
