zcta,under_100_FPL,less_12_education,non_employment,renting,crowded,single_parent_family,no_vehicle_households
601,0.621761658,0.314192761,0.587741631,0.2997566,0.010110466,0.160476325,0.121325594
602,0.473687017,0.332509445,0.5510841,0.246301949,0.016122721,0.158807212,0.121311732
603,0.486802125,0.243286419,0.574588003,0.426314717,0.014115369,0.205787781,0.170454545
606,0.540429338,0.405050996,0.616720636,0.248973306,0.054414784,0.170212766,0.125256674
610,0.456484944,0.27555672,0.480528133,0.272064685,0.005466348,0.170129428,0.103632844
611,0.446387833,0.338567223,0.44343303,0.472275335,0,0.125,0.133843212
612,0.433121323,0.188691849,0.544679859,0.377093533,0.01825131,0.225767929,0.137765181
616,0.437057844,0.211465657,0.516439455,0.326031746,0.025714286,0.171750352,0.103174603
617,0.46181125,0.22327255,0.529305681,0.263419966,0.00157882,0.233811086,0.084649016
622,0.464646465,0.289267016,0.503877737,0.284045394,0.01635514,0.081496668,0.076769025
623,0.413181888,0.230568436,0.496707885,0.250892122,0.030469393,0.153798257,0.115564096
624,0.516473318,0.263928453,0.565459812,0.300925926,0.02369281,0.170519136,0.11328976
627,0.416797271,0.282091396,0.490923025,0.242727665,0.008459215,0.115180723,0.107121278
631,0.595774648,0.356363636,0.574772432,0.420833333,0.0375,0.128125,0.25625
636,0.756859035,0.272097054,0.591339648,0.564885496,0.167938931,0.106382979,0
637,0.455145119,0.217218953,0.554119194,0.218169305,0.009084652,0.142857143,0.101169993
638,0.550623896,0.330792102,0.612333145,0.266941864,0.0249398,0.186144157,0.125558996
641,0.535983125,0.259417951,0.6439191,0.400496951,0.012423763,0.184496124,0.161621866
646,0.308782107,0.171607532,0.490217951,0.203481593,0.031234383,0.155477032,0.111610861
647,0.675457252,0.234409276,0.6548985,0.26626898,0.046637744,0.168957154,0.102494577
650,0.496870451,0.226117261,0.584346246,0.310009533,0.007435653,0.209432049,0.135748332
652,0.382240367,0.213776722,0.458814473,0.276203966,0,0.150559512,0.066572238
653,0.656657224,0.320846658,0.636959603,0.320099256,0.011028398,0.218173639,0.098704163
656,0.520370268,0.222739911,0.588107717,0.269093172,0.030175766,0.210821298,0.135013221
659,0.4,0.219596293,0.474169355,0.267590537,0.01684404,0.104251541,0.077406018
660,0.413737085,0.197060059,0.477275228,0.294214333,0.021860618,0.155109042,0.131163708
662,0.484904436,0.224302776,0.555673826,0.394611502,0.005331627,0.148671447,0.118717566
664,0.55297348,0.212767967,0.620336815,0.414359177,0.020371835,0.238838085,0.143393987
667,0.56119211,0.278657916,0.558622632,0.310933527,0.017193365,0.160449182,0.14408524
669,0.559587205,0.32917424,0.542408676,0.3370011,0.016104831,0.132807185,0.122536761
670,0.523754613,0.348078786,0.584171322,0.264248705,0.043671355,0.14519774,0.131754256
674,0.45945739,0.241041443,0.5606665,0.266557756,0.04887346,0.209488666,0.180518685
676,0.469684101,0.279168402,0.550912524,0.367628898,0.024544613,0.211841682,0.087681383
677,0.413024962,0.268918919,0.456726094,0.282877547,0.021599025,0.153257716,0.094234454
678,0.460091266,0.262112533,0.510730159,0.346947787,0.017882769,0.177959048,0.127387129
680,0.532031655,0.273122889,0.583090264,0.443932412,0.018376287,0.201777517,0.199635888
682,0.540709465,0.232881634,0.607146524,0.503850294,0.020783307,0.24809694,0.191189865
683,0.486717463,0.267786246,0.605329949,0.320524578,0.021093177,0.151380514,0.176173881
685,0.523981472,0.305559299,0.564876406,0.300866406,0.018865288,0.158039535,0.120947457
687,0.474985141,0.238458919,0.541286351,0.28950051,0.017737003,0.225003477,0.140978593
688,0.544867128,0.287445582,0.601273223,0.366075949,0.018987342,0.185054635,0.120759494
690,0.478290953,0.21483376,0.528555739,0.335918565,0.044110519,0.256048387,0.088221037
692,0.413516054,0.232681541,0.507070332,0.31943516,0.040775401,0.185198054,0.138285428
693,0.434111616,0.233052517,0.519247807,0.248054808,0.05309518,0.19596456,0.128015659
694,0.275510204,0.234693878,0.517241379,0,0,0,0.211538462
698,0.442314615,0.204604814,0.564271525,0.249510763,0.005218526,0.144174568,0.113013699
703,0.438328613,0.264178934,0.467536663,0.342043812,0.027577004,0.222222222,0.137773824
704,0.520396098,0.187345193,0.515450362,0.222267704,0.075317233,0.23463357,0.147359804
705,0.423771232,0.19829904,0.503306922,0.227410484,0.017061399,0.189235224,0.126164553
707,0.501431298,0.248620863,0.661043182,0.287397541,0.080686475,0.213953488,0.151127049
714,0.577025485,0.218763777,0.615619902,0.228146013,0.031059878,0.286537077,0.10326609
715,0.670098039,0.363760218,0.653345725,0.201282051,0.073076923,0.216266174,0.117948718
716,0.487999704,0.188405078,0.56952309,0.350480644,0.013856413,0.237285608,0.170174071
717,0.525111081,0.177930257,0.587918386,0.502246181,0.020215633,0.260627952,0.248427673
718,0.480487595,0.224373022,0.563397453,0.274391742,0.035881052,0.2413217,0.103956746
719,0.488881344,0.286419064,0.572016238,0.328462954,0.041417395,0.186932849,0.163138518
720,0.555609284,0.275757371,0.625210576,0.32683451,0.041909733,0.234826749,0.164415106
723,0.482648459,0.203590338,0.573374296,0.316136291,0.029572485,0.156057007,0.153326905
725,0.408338987,0.169048162,0.455601521,0.356187942,0.022357064,0.206259179,0.152313583
727,0.308117698,0.137039118,0.410687023,0.28809155,0.014342112,0.16761194,0.090100445
728,0.498144353,0.205139517,0.578714059,0.218302854,0.033743974,0.245356037,0.100849338
729,0.352691605,0.194049159,0.446520785,0.26246924,0.058039734,0.209817624,0.096152692
730,0.527251148,0.208684601,0.573607287,0.326100386,0.027876448,0.206892068,0.203243243
731,0.56208649,0.311292719,0.612626656,0.222731906,0.059633028,0.102154828,0.182212029
735,0.415997836,0.213560941,0.47988677,0.264525272,0.022437411,0.182957393,0.127066604
736,0.384418874,0.210203962,0.487644774,0.363359124,0.008810075,0.220853648,0.149488903
738,0.415239812,0.156441023,0.486397495,0.301395192,0.024205749,0.219483871,0.133719953
739,0.400329585,0.210159917,0.516994713,0.335319697,0.016105653,0.164663189,0.126912546
740,0.584070796,0.195814649,0.412532637,0.479108635,0.015320334,0.494252874,0.140668524
741,0.499307287,0.19515721,0.51417004,0.17264574,0.043348281,0.079569892,0.102391629
745,0.360352498,0.200005707,0.445793752,0.272486447,0.035054214,0.154705935,0.119085757
751,0.497845712,0.243774211,0.538055143,0.231390728,0.022781457,0.238543628,0.144768212
754,0.457128764,0.268620359,0.533732067,0.281577372,0.037189464,0.191814083,0.172702784
