CCN,critical_access,teaching_status,urban_rural,referral_center,num_beds,type_of_service,state_code,ownership_type_simple,bed_size_simple
344028,NA,NA,NA,NA,NA,Psychiatric,NA,Nonprofit,NA
360081,Not Critical Access,Teaching,Urban,Non Referral Center,125,General Short Term,OH,Nonprofit,Small
360262,Not Critical Access,Teaching,Urban,Non Referral Center,128,General Short Term,OH,Nonprofit,Small
430083,Not Critical Access,Non Teaching,Rural,Non Referral Center,8,General Short Term,SD,Governmental,Small
140058,Not Critical Access,Non Teaching,Rural,Referral Center,106,General Short Term,IL,Nonprofit,Small
320058,Not Critical Access,Non Teaching,Rural,Non Referral Center,6,General Short Term,NM,Governmental,Small
320070,Not Critical Access,Non Teaching,Rural,Non Referral Center,6,General Short Term,NM,Governmental,Small
30137,Not Critical Access,Non Teaching,Urban,Non Referral Center,49,General Short Term,NA,Proprietary,Small
240063,Not Critical Access,Teaching,Urban,Non Referral Center,28,General Short Term,MN,Nonprofit,Small
240059,Not Critical Access,Non Teaching,Urban,Non Referral Center,22,General Short Term,MN,Nonprofit,Small
111333,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,NA,Governmental,Small
101993,NA,NA,NA,NA,NA,Religious Non Medical Healthcare,NA,Proprietary,NA
450187,Not Critical Access,Non Teaching,Rural,Non Referral Center,55,General Short Term,TX,Nonprofit,Small
453308,Not Critical Access,Non Teaching,Urban,Non Referral Center,39,Children,TX,Nonprofit,Small
14012,Not Critical Access,Non Teaching,Urban,Non Referral Center,126,Psychiatric,NA,Governmental,Small
131324,Critical Access,Non Teaching,Rural,Non Referral Center,14,General Short Term,NA,Governmental,Small
281339,Critical Access,Non Teaching,Rural,Non Referral Center,24,General Short Term,NA,Nonprofit,Small
512003,Not Critical Access,Non Teaching,Urban,Non Referral Center,32,General Long Term,TX,Proprietary,Small
452111,Not Critical Access,Non Teaching,Urban,Non Referral Center,18,General Long Term,NA,Proprietary,Small
50849,NA,NA,NA,NA,NA,Rehabilitation,NA,Proprietary,NA
232039,Not Critical Access,Non Teaching,Urban,Non Referral Center,42,General Long Term,MI,Proprietary,Small
241318,Critical Access,Non Teaching,Rural,Non Referral Center,16,General Short Term,NA,Nonprofit,Small
241373,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,NA,Governmental,Small
360009,Not Critical Access,Non Teaching,Rural,Referral Center,110,General Short Term,NA,Nonprofit,Small
514011,NA,NA,NA,NA,NA,Psychiatric,NA,Nonprofit,NA
10021,Not Critical Access,Non Teaching,Rural,Non Referral Center,77,General Short Term,NA,Governmental,Small
250018,Not Critical Access,Non Teaching,Rural,Non Referral Center,20,General Short Term,NA,Governmental,Small
423033,Not Critical Access,Non Teaching,Rural,Non Referral Center,75,Rehabilitation,AL,Proprietary,Small
41323,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,NA,Nonprofit,Small
371324,Critical Access,Non Teaching,Rural,Non Referral Center,15,Other,OK,Governmental,Small
420067,Not Critical Access,Non Teaching,Rural,Non Referral Center,167,General Short Term,NA,Governmental,Medium
471300,Critical Access,Non Teaching,Rural,Non Referral Center,19,General Short Term,NA,Nonprofit,Small
431325,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,NA,Nonprofit,Small
14014,NA,NA,NA,NA,NA,Psychiatric,NA,Governmental,NA
14017,Not Critical Access,Non Teaching,Urban,Non Referral Center,66,Psychiatric,NA,Governmental,Small
301309,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,NH,Nonprofit,Small
360147,Not Critical Access,Teaching,Rural,Referral Center,188,General Short Term,NA,Nonprofit,Medium
10051,Not Critical Access,Non Teaching,Urban,Non Referral Center,20,General Short Term,NA,Governmental,Small
50169,Not Critical Access,Teaching,Urban,Non Referral Center,371,General Short Term,CA,Nonprofit,Medium
104082,Not Critical Access,Non Teaching,Urban,Non Referral Center,74,Psychiatric,PA,Proprietary,Small
111331,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,GA,Nonprofit,Small
134002,Not Critical Access,Non Teaching,Urban,Non Referral Center,150,Psychiatric,PA,Proprietary,Medium
340008,Not Critical Access,Non Teaching,Rural,Non Referral Center,104,General Short Term,NC,Nonprofit,Small
340024,Not Critical Access,Teaching,Rural,Non Referral Center,67,General Short Term,NA,Nonprofit,Small
451363,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,NA,Governmental,Small
490005,Not Critical Access,Teaching,Urban,Referral Center,455,General Short Term,VA,Nonprofit,Large
490033,Not Critical Access,Teaching,Urban,Non Referral Center,46,General Short Term,VA,Nonprofit,Small
490042,Not Critical Access,Teaching,Urban,Referral Center,94,General Short Term,NA,Nonprofit,Small
490089,Not Critical Access,Non Teaching,Urban,Non Referral Center,37,General Short Term,NA,Nonprofit,Small
490117,Not Critical Access,Non Teaching,Rural,Non Referral Center,23,General Short Term,NA,Nonprofit,Small
491302,Critical Access,Non Teaching,Urban,Non Referral Center,25,General Short Term,NA,Nonprofit,Small
491304,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,NA,Nonprofit,Small
340070,Not Critical Access,Non Teaching,Rural,Referral Center,176,General Short Term,NC,Nonprofit,Medium
420049,Not Critical Access,Teaching,Urban,Non Referral Center,171,General Short Term,NA,Nonprofit,Medium
450108,Not Critical Access,Non Teaching,Urban,Non Referral Center,44,General Short Term,NA,Governmental,Small
450369,Not Critical Access,Non Teaching,Rural,Non Referral Center,37,General Short Term,NA,Governmental,Small
451329,Critical Access,Non Teaching,Rural,Non Referral Center,15,General Short Term,NA,Governmental,Small
13301,Not Critical Access,Teaching,Urban,Non Referral Center,249,Children,AL,Governmental,Medium
110005,Not Critical Access,Non Teaching,Urban,Non Referral Center,388,General Short Term,NA,Nonprofit,Medium
110008,Not Critical Access,Non Teaching,Urban,Non Referral Center,212,General Short Term,NA,Nonprofit,Medium
110087,Not Critical Access,Teaching,Urban,Non Referral Center,404,General Short Term,NA,Nonprofit,Large
110121,Not Critical Access,Non Teaching,Rural,Non Referral Center,44,General Short Term,GA,Nonprofit,Small
110252,Not Critical Access,Non Teaching,Urban,Non Referral Center,87,General Short Term,NA,Nonprofit,Small
111332,Critical Access,Non Teaching,Urban,Non Referral Center,25,General Short Term,GA,Nonprofit,Small
191318,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,NA,Governmental,Small
241344,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,NA,Nonprofit,Small
250104,Not Critical Access,Teaching,Rural,Referral Center,270,General Short Term,NA,Nonprofit,Medium
340028,Not Critical Access,Teaching,Rural,Referral Center,627,General Short Term,NC,Governmental,Large
340071,Not Critical Access,Teaching,Urban,Non Referral Center,126,General Short Term,NC,Governmental,Small
340091,Not Critical Access,Teaching,Rural,Referral Center,779,General Short Term,NC,Nonprofit,Large
340097,Not Critical Access,Non Teaching,Rural,Non Referral Center,81,General Short Term,NA,Nonprofit,Small
340188,Not Critical Access,Non Teaching,Urban,Non Referral Center,41,General Short Term,NC,Governmental,Small
341315,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,NC,Governmental,Small
342014,Not Critical Access,Non Teaching,Urban,Non Referral Center,66,General Long Term,NC,Governmental,Small
370166,Not Critical Access,Non Teaching,Urban,Non Referral Center,100,General Short Term,NA,Nonprofit,Small
421303,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,NA,Nonprofit,Small
451303,Critical Access,Non Teaching,Rural,Non Referral Center,20,General Short Term,NA,Governmental,Small
10045,Not Critical Access,Non Teaching,Rural,Non Referral Center,32,General Short Term,AL,Governmental,Small
10062,Not Critical Access,Non Teaching,Rural,Non Referral Center,33,General Short Term,NA,Governmental,Small
10092,Not Critical Access,Teaching,Rural,Referral Center,372,General Short Term,AL,Governmental,Medium
11300,Critical Access,Non Teaching,Rural,Non Referral Center,15,General Short Term,NA,Governmental,Small
110001,Not Critical Access,Teaching,Urban,Referral Center,221,General Short Term,NA,Nonprofit,Medium
111303,Critical Access,Non Teaching,Urban,Non Referral Center,12,General Short Term,NA,Governmental,Small
111313,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,NA,Governmental,Small
111326,Critical Access,Non Teaching,Urban,Non Referral Center,25,General Short Term,NA,Governmental,Small
170075,Not Critical Access,Non Teaching,Rural,Non Referral Center,15,General Short Term,NA,Nonprofit,Small
171328,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,KS,Governmental,Small
250036,Not Critical Access,Non Teaching,Rural,Non Referral Center,39,General Short Term,NA,Governmental,Small
281336,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,NA,Nonprofit,Small
342017,Not Critical Access,Non Teaching,Urban,Non Referral Center,34,General Long Term,TN,Proprietary,Small
371301,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,NA,Nonprofit,Small
371323,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,OK,Governmental,Small
441305,Critical Access,Non Teaching,Urban,Non Referral Center,25,General Short Term,NA,Nonprofit,Small
450475,Not Critical Access,Non Teaching,Urban,Non Referral Center,41,General Short Term,TN,Proprietary,Small
451378,Critical Access,Non Teaching,Rural,Non Referral Center,22,General Short Term,TN,Proprietary,Small
10007,Not Critical Access,Non Teaching,Rural,Non Referral Center,45,General Short Term,NA,Governmental,Small
10029,Not Critical Access,Teaching,Urban,Referral Center,297,General Short Term,AL,Governmental,Medium
10034,Not Critical Access,Non Teaching,Urban,Non Referral Center,37,General Short Term,NA,Nonprofit,Small
10055,Not Critical Access,Non Teaching,Rural,Referral Center,193,General Short Term,TN,Proprietary,Medium
10058,Not Critical Access,Non Teaching,Urban,Non Referral Center,25,General Short Term,NA,Governmental,Small
10073,Not Critical Access,Non Teaching,Rural,Non Referral Center,46,General Short Term,NA,Governmental,Small
10095,Not Critical Access,Non Teaching,Urban,Non Referral Center,28,General Short Term,NA,Governmental,Small
10099,Not Critical Access,Non Teaching,Rural,Non Referral Center,46,General Short Term,NA,Governmental,Small
10112,Not Critical Access,Non Teaching,Rural,Non Referral Center,47,General Short Term,NA,Governmental,Small
10169,Not Critical Access,Non Teaching,Rural,Non Referral Center,49,General Short Term,NA,Nonprofit,Small
10175,Not Critical Access,Non Teaching,Rural,Non Referral Center,12,General Short Term,AL,Governmental,Small
110045,Not Critical Access,Non Teaching,Urban,Non Referral Center,56,General Short Term,NA,Nonprofit,Small
110092,Not Critical Access,Non Teaching,Rural,Non Referral Center,41,General Short Term,NA,Governmental,Small
110095,Not Critical Access,Non Teaching,Rural,Referral Center,181,General Short Term,NA,Nonprofit,Medium
110122,Not Critical Access,Teaching,Urban,Referral Center,224,General Short Term,NA,Governmental,Medium
110142,Not Critical Access,Non Teaching,Rural,Non Referral Center,49,General Short Term,NA,Governmental,Small
111318,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,NA,Governmental,Small
170086,Not Critical Access,Non Teaching,Rural,Non Referral Center,438,General Short Term,NA,Nonprofit,Large
180017,Not Critical Access,Teaching,Rural,Referral Center,112,General Short Term,NA,Nonprofit,Small
180027,Not Critical Access,Non Teaching,Rural,Referral Center,99,General Short Term,NA,Governmental,Small
180149,Not Critical Access,Non Teaching,Rural,Non Referral Center,49,General Short Term,NA,Nonprofit,Small
181306,Critical Access,Non Teaching,Rural,Non Referral Center,25,Other,IN,Nonprofit,Small
250078,Not Critical Access,Teaching,Urban,Referral Center,435,General Short Term,NA,Governmental,Large
251324,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,NA,Governmental,Small
251334,Critical Access,Non Teaching,Rural,Non Referral Center,15,General Short Term,NA,Governmental,Small
263033,Not Critical Access,Non Teaching,Urban,Non Referral Center,16,Rehabilitation,NA,Proprietary,Small
340069,Not Critical Access,Teaching,Urban,Non Referral Center,609,General Short Term,NC,Nonprofit,Large
340142,Not Critical Access,Non Teaching,Rural,Referral Center,99,General Short Term,NA,Governmental,Small
341327,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,NA,Governmental,Small
360090,Not Critical Access,Teaching,Rural,Referral Center,89,General Short Term,MI,Nonprofit,Small
420070,Not Critical Access,Teaching,Urban,Non Referral Center,185,General Short Term,SC,Nonprofit,Medium
420078,Not Critical Access,Teaching,Urban,Non Referral Center,721,General Short Term,SC,Nonprofit,Large
420102,Not Critical Access,Teaching,Urban,Non Referral Center,64,General Short Term,SC,Nonprofit,Small
420106,Not Critical Access,Teaching,Urban,Non Referral Center,78,General Short Term,SC,Nonprofit,Small
422008,Not Critical Access,Non Teaching,Urban,Non Referral Center,44,General Long Term,SC,Nonprofit,Small
470012,Not Critical Access,Teaching,Rural,Referral Center,57,General Short Term,NA,Nonprofit,Small
491303,Critical Access,Non Teaching,Rural,Non Referral Center,2,General Short Term,TN,Nonprofit,Small
520008,Not Critical Access,Teaching,Urban,Non Referral Center,270,General Short Term,WI,Nonprofit,Medium
520062,Not Critical Access,Non Teaching,Urban,Non Referral Center,63,General Short Term,WI,Nonprofit,Small
10001,Not Critical Access,Teaching,Rural,Referral Center,353,General Short Term,NA,Governmental,Medium
10040,Not Critical Access,Teaching,Urban,Non Referral Center,219,General Short Term,TN,Proprietary,Medium
40153,Not Critical Access,Non Teaching,Rural,Non Referral Center,36,General Short Term,TX,Proprietary,Small
60054,Not Critical Access,Non Teaching,Urban,Non Referral Center,44,General Short Term,NA,Nonprofit,Small
100030,Not Critical Access,Non Teaching,Urban,Non Referral Center,284,General Short Term,FL,Nonprofit,Medium
100051,Not Critical Access,Non Teaching,Urban,Non Referral Center,167,General Short Term,FL,Nonprofit,Medium
100087,Not Critical Access,Teaching,Urban,Non Referral Center,787,General Short Term,FL,Governmental,Large
100302,Not Critical Access,Non Teaching,Urban,Non Referral Center,84,General Short Term,FL,Nonprofit,Small
100315,Not Critical Access,Non Teaching,Urban,Non Referral Center,84,General Short Term,FL,Nonprofit,Small
100330,Not Critical Access,Non Teaching,Urban,Non Referral Center,43,General Short Term,NA,Governmental,Small
100359,Not Critical Access,Non Teaching,Urban,Non Referral Center,110,General Short Term,FL,Governmental,Small
101307,Critical Access,Non Teaching,Rural,Non Referral Center,20,General Short Term,NA,Nonprofit,Small
102024,Not Critical Access,Non Teaching,Urban,Non Referral Center,75,General Long Term,PA,Proprietary,Small
131315,Critical Access,Non Teaching,Rural,Non Referral Center,15,General Short Term,NA,Governmental,Small
131318,Critical Access,Non Teaching,Rural,Non Referral Center,13,General Short Term,NA,Governmental,Small
131319,Critical Access,Non Teaching,Rural,Non Referral Center,23,General Short Term,NA,Governmental,Small
131322,Critical Access,Non Teaching,Rural,Non Referral Center,20,General Short Term,NA,Governmental,Small
141337,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,IL,Nonprofit,Small
191323,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,NA,Governmental,Small
250058,Not Critical Access,Non Teaching,Rural,Referral Center,268,General Short Term,NA,Governmental,Medium
340173,Not Critical Access,Non Teaching,Urban,Non Referral Center,189,General Short Term,NC,Nonprofit,Medium
354004,Not Critical Access,Non Teaching,Urban,Non Referral Center,120,Psychiatric,PA,Proprietary,Small
420015,Not Critical Access,Teaching,Urban,Non Referral Center,64,General Short Term,SC,Nonprofit,Small
420018,Not Critical Access,Teaching,Rural,Referral Center,600,General Short Term,SC,Nonprofit,Large
420020,Not Critical Access,Teaching,Rural,Referral Center,68,General Short Term,NA,Nonprofit,Small
420033,Not Critical Access,Teaching,Urban,Non Referral Center,66,General Short Term,SC,Nonprofit,Small
420038,Not Critical Access,Non Teaching,Rural,Non Referral Center,41,General Short Term,SC,Nonprofit,Small
420098,Not Critical Access,Teaching,Rural,Referral Center,124,General Short Term,NA,Nonprofit,Small
422006,Not Critical Access,Non Teaching,Urban,Non Referral Center,35,General Long Term,TX,Nonprofit,Small
441301,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,TN,Proprietary,Small
450152,Not Critical Access,Non Teaching,Urban,Non Referral Center,208,General Short Term,FL,Nonprofit,Medium
450661,Not Critical Access,Non Teaching,Rural,Referral Center,208,General Short Term,TX,Proprietary,Medium
451343,Critical Access,Non Teaching,Urban,Non Referral Center,19,General Short Term,TX,Governmental,Small
451347,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,OK,Proprietary,Small
451350,Critical Access,Non Teaching,Rural,Non Referral Center,17,General Short Term,NA,Governmental,Small
451353,Critical Access,Non Teaching,Rural,Non Referral Center,15,General Short Term,NA,Governmental,Small
451359,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,NA,Governmental,Small
451362,Critical Access,Non Teaching,Rural,Non Referral Center,23,General Short Term,NA,Governmental,Small
452106,Not Critical Access,Non Teaching,Urban,Non Referral Center,24,General Long Term,PA,Proprietary,Small
490115,Not Critical Access,Non Teaching,Rural,Non Referral Center,141,General Short Term,TN,Proprietary,Small
493036,Not Critical Access,Non Teaching,Urban,Non Referral Center,114,Rehabilitation,NA,Nonprofit,Small
510029,Not Critical Access,Non Teaching,Urban,Non Referral Center,176,General Short Term,WV,Nonprofit,Medium
510031,Not Critical Access,Non Teaching,Urban,Non Referral Center,40,General Short Term,WV,Nonprofit,Small
510048,Not Critical Access,Non Teaching,Rural,Non Referral Center,132,General Short Term,TN,Proprietary,Small
650001,Not Critical Access,Non Teaching,Rural,Non Referral Center,161,General Short Term,NA,Governmental,Medium
673038,Not Critical Access,Non Teaching,Urban,Non Referral Center,35,Rehabilitation,TX,Proprietary,Small
100022,Not Critical Access,Teaching,Rural,Referral Center,1893,General Short Term,NA,Governmental,Large
271329,Critical Access,Non Teaching,Rural,Non Referral Center,10,General Short Term,NA,Nonprofit,Small
281364,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,NA,Nonprofit,Small
340003,Not Critical Access,Non Teaching,Rural,Non Referral Center,100,General Short Term,NA,Governmental,Small
340039,Not Critical Access,Non Teaching,Urban,Non Referral Center,155,General Short Term,NA,Nonprofit,Medium
340040,Not Critical Access,Teaching,Urban,Non Referral Center,1013,General Short Term,NC,Nonprofit,Large
340042,Not Critical Access,Non Teaching,Rural,Non Referral Center,162,General Short Term,NC,Governmental,Medium
340068,Not Critical Access,Non Teaching,Rural,Referral Center,154,General Short Term,NA,Governmental,Medium
340099,Not Critical Access,Non Teaching,Rural,Non Referral Center,70,General Short Term,NC,Nonprofit,Small
340107,Not Critical Access,Non Teaching,Urban,Non Referral Center,117,General Short Term,NC,Nonprofit,Small
340115,Not Critical Access,Non Teaching,Rural,Referral Center,412,General Short Term,NC,Nonprofit,Large
340120,Not Critical Access,Non Teaching,Rural,Non Referral Center,49,General Short Term,NC,Nonprofit,Small
340151,Not Critical Access,Non Teaching,Rural,Non Referral Center,100,General Short Term,NC,Nonprofit,Small
341303,Critical Access,Non Teaching,Rural,Non Referral Center,3,General Short Term,NC,Nonprofit,Small
341304,Critical Access,Non Teaching,Rural,Non Referral Center,6,General Short Term,NC,Governmental,Small
341318,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,NC,Nonprofit,Small
341320,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,NA,Nonprofit,Small
341324,Critical Access,Non Teaching,Rural,Non Referral Center,21,General Short Term,NC,Nonprofit,Small
511306,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,NA,Nonprofit,Small
10005,Not Critical Access,Non Teaching,Rural,Referral Center,178,General Short Term,AL,Governmental,Medium
10019,Not Critical Access,Non Teaching,Urban,Non Referral Center,178,General Short Term,AL,Governmental,Medium
10059,Not Critical Access,Non Teaching,Urban,Non Referral Center,43,General Short Term,AL,Proprietary,Small
10078,Not Critical Access,Non Teaching,Urban,Referral Center,412,General Short Term,NA,Governmental,Large
10102,Not Critical Access,Non Teaching,Rural,Non Referral Center,21,General Short Term,NA,Governmental,Small
10114,Not Critical Access,Non Teaching,Urban,Non Referral Center,204,General Short Term,NA,Governmental,Medium
11302,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,SC,Governmental,Small
40019,Not Critical Access,Non Teaching,Rural,Non Referral Center,48,General Short Term,TN,Proprietary,Small
73300,Not Critical Access,Teaching,Urban,Non Referral Center,187,Children,NA,Nonprofit,Medium
140110,Not Critical Access,Non Teaching,Rural,Referral Center,97,General Short Term,IL,Nonprofit,Small
171361,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,KS,Governmental,Small
204006,Not Critical Access,Non Teaching,Urban,Non Referral Center,68,Psychiatric,ME,Nonprofit,Small
220012,Not Critical Access,Teaching,Urban,Non Referral Center,239,General Short Term,MA,Nonprofit,Medium
220049,Not Critical Access,Non Teaching,Urban,Non Referral Center,67,General Short Term,NA,Nonprofit,Small
222047,Not Critical Access,Non Teaching,Urban,Non Referral Center,35,General Long Term,NA,Proprietary,Small
222048,Not Critical Access,Non Teaching,Urban,Non Referral Center,63,General Long Term,NA,Proprietary,Small
241372,Critical Access,Non Teaching,Rural,Non Referral Center,12,General Short Term,NA,Nonprofit,Small
300023,Not Critical Access,Non Teaching,Rural,Referral Center,99,General Short Term,NH,Nonprofit,Small
420086,Not Critical Access,Teaching,Urban,Non Referral Center,246,General Short Term,SC,Nonprofit,Medium
510050,Not Critical Access,Teaching,Rural,Referral Center,189,General Short Term,NA,Nonprofit,Medium
521320,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,NA,Nonprofit,Small
10087,Not Critical Access,Teaching,Urban,Non Referral Center,242,General Short Term,AL,Governmental,Medium
21305,Critical Access,Non Teaching,Rural,Non Referral Center,8,General Short Term,AK,Governmental,Small
